wavelength,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef,coef mean,coef sem
1026,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1746,1.464373241435818,1.441735851721458,1.5010529679863145,1.394140594606521,1.492201763755875,1.368809770054763,1.5173041977556811,1.4174858500557166,1.5084793864685715,1.6962877250553294,1.4729538658708368,1.673446332359574,1.4587581203276945,1.4691625919032631,1.27121879167775,1.5131572082728544,1.565230990868473,1.492606316477106,1.4881387859697441,1.4327597756045616,1.6530174603651562,1.5763346405677852,1.4092530108083967,1.371969585381962,1.5810386830391006,1.3653032332948343,1.4761743227903277,1.3271862086026007,1.386903297453609,1.4606511570025862,1.549510018506786,1.5151206063864637,1.4806492930988575,1.4844433124530623,1.433987045008992,1.2977320585014547,1.546987475385552,1.4044157471594825,1.5192420535025577,1.4906681986577717,1.474247288404881,0.014206539332774578
1901,-0.050524710455543125,-0.0,-0.0,-0.18925804166583132,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01966877870895132,-0.005778868627221526,-0.2052478667422026,-0.0,-0.0,-0.0,-0.0019169193155529449,-0.0,-0.0,-0.0,-0.11193032228938075,-0.11679733644449991,-0.0,-0.0,-0.0,-0.0,-0.05904539859049024,-0.0,-0.0,-0.0,-0.009213121198993663,-0.07052067478889217,-0.0,-0.12438039868475843,-0.0,-0.08967601032853968,-0.02667371830400153,-0.0,-0.02701580415362148,0.008214576651022735
2854,0.7643016240310969,0.6701737049905792,0.5547712223182558,0.6420384394233852,0.5852341424016928,0.7347319028017222,0.49829319323955423,0.47629310671835606,0.5160213515417942,0.4409775423217424,0.5529235476357279,0.4176959857889266,0.7597303182416727,0.6396122832207743,0.6967778707468205,0.5985136157986091,0.4514822681880411,0.5279433461024413,0.6327836732821325,0.6577896515454176,0.5396003010399492,0.530188434796612,0.5819903320945069,0.7372909188308493,0.5524795918527966,0.6466848745548791,0.6495429276333696,0.6668215310510935,0.4495605235906523,0.5819238218777488,0.5481864730722595,0.5105727370279792,0.699356011433333,0.6866224134624674,0.592927864061451,0.6066791518125673,0.46699469805929217,0.7172147952090329,0.6320584554387759,0.6137259527315299,0.5957127649992472,0.01435037395886908
2923,0.0,0.0,0.0,0.10315733057270023,0.0,0.0,0.0,0.16818436439974732,0.0,0.0,0.0,0.0,0.0,0.020743074337314493,0.21014373175534837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18877475299481303,0.0,0.0,0.0,0.0,0.0,0.18699626649573667,0.0,0.0,0.026697457417952798,0.0,0.0,0.0,0.19452012599828253,0.0,0.0,0.0,0.0,0.027480427599297384,0.009953105504749257
3276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
526,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
880,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
mse,15.040992916026267,13.411926894500896,15.820894931390791,15.00823645597742,15.594337161917808,15.832693000905202,13.773683542916137,15.174074657712675,11.765545446578212,15.955143284597357,13.824599312631785,14.104271717517598,14.245797580992354,16.312738778000945,15.436496810830993,13.664180968267686,12.453817221159667,14.04137600816829,15.634833784785489,17.65429077700148,17.100409664883394,14.24901465924595,16.535575470812763,13.507645292740568,10.068557077318987,18.405083370676454,15.296896326654482,14.624831997695653,12.331644278720079,15.24054072123629,15.310408155764078,15.823783932837033,13.603374112028133,13.386472337435919,14.878001592479942,14.638405786754745,11.751099461316734,16.36909785184823,14.627649654531108,16.435667019377632,14.723352250405933,0.2570681878953858
r2,0.16226828925170989,0.24609447728774103,0.32456238216086897,0.23007265776246932,0.29644096457549474,0.23311277410630094,0.38490868708525594,0.2763368009624979,0.40498471524987467,0.17502080768464623,0.36890735637685734,0.2579241844862975,0.17546367155006948,0.2704720560470084,0.15846748569305036,0.2754701060736272,0.352768113851718,0.3387975410437515,0.2535107980590343,0.27180084889196354,0.19049652014769902,0.2811690180880063,0.052760669200581645,0.2757699256614943,0.2972020265952816,0.31024720496366964,0.2512664366319384,0.36441025512749803,0.3754596542342947,0.2997216112274075,0.2732760529278856,0.2874704754772308,0.23806554140967995,0.2714672902928461,0.30440512035158696,0.2800630364231874,0.3621368868884214,0.27004551687420775,0.24759177154304624,0.2578952629083293,0.2737076248793633,0.010791837851440179
